dateTime=2026-06-13 15:00:01 UTC | login=jsmith@megacorp.com | clientip=10.200.10.14 | serverip=142.250.190.46 | url=https://www.google.com/search?q=excel+shortcuts | action=Allowed | location=NewYork_Office | incomingbytes=24500 | outgoingbytes=1200 | urlcategory=Search Engines | urlsupercategory=Business/Economy | threatname=None | threattype=None | appclass=General Browsing | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Default_Allow_Web
dateTime=2026-06-13 15:01:15 UTC | login=jsmith@megacorp.com | clientip=10.200.10.14 | serverip=151.101.1.69 | url=https://stackoverflow.com/questions/tagged/python | action=Allowed | location=NewYork_Office | incomingbytes=85000 | outgoingbytes=3400 | urlcategory=Information Technology | urlsupercategory=Business/Economy | threatname=None | threattype=None | appclass=General Browsing | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Default_Allow_Web
dateTime=2026-06-13 15:03:22 UTC | login=ajones@megacorp.com | clientip=10.200.12.88 | serverip=23.211.5.112 | url=https://www.linkedin.com/feed/ | action=Allowed | location=NewYork_Office | incomingbytes=312000 | outgoingbytes=45000 | urlcategory=Social Networking | urlsupercategory=Social Media | threatname=None | threattype=None | appclass=Social Media | useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) | rulelabel=Allow_Social_Media
dateTime=2026-06-13 15:05:00 UTC | login=ajones@megacorp.com | clientip=10.200.12.88 | serverip=104.244.42.1 | url=https://twitter.com/i/trends | action=Allowed | location=NewYork_Office | incomingbytes=142000 | outgoingbytes=8900 | urlcategory=Social Networking | urlsupercategory=Social Media | threatname=None | threattype=None | appclass=Social Media | useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) | rulelabel=Allow_Social_Media
dateTime=2026-06-13 15:10:44 UTC | login=kbrown@megacorp.com | clientip=10.200.15.52 | serverip=52.84.140.99 | url=https://www.coursera.org/learn/machine-learning | action=Allowed | location=Chicago_Branch | incomingbytes=2405000 | outgoingbytes=18400 | urlcategory=Education | urlsupercategory=Business/Economy | threatname=None | threattype=None | appclass=Streaming Media | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Default_Allow_Web
dateTime=2026-06-13 15:12:19 UTC | login=kbrown@megacorp.com | clientip=10.200.15.52 | serverip=13.224.237.41 | url=https://github.com/trending | action=Allowed | location=Chicago_Branch | incomingbytes=98000 | outgoingbytes=5200 | urlcategory=Source Code Repositories | urlsupercategory=Information Technology | threatname=None | threattype=None | appclass=Cloud Applications | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Allow_Engineering_Github
dateTime=2026-06-13 15:15:30 UTC | login=dwhite@megacorp.com | clientip=192.168.50.22 | serverip=172.217.12.142 | url=https://docs.google.com/spreadsheets/d/18x9/edit | action=Allowed | location=Remote_VPN | incomingbytes=412000 | outgoingbytes=88000 | urlcategory=Collaboration Tools | urlsupercategory=Business/Economy | threatname=None | threattype=None | appclass=Cloud Applications | useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) | rulelabel=Allow_Workspace
dateTime=2026-06-13 15:18:12 UTC | login=dwhite@megacorp.com | clientip=192.168.50.22 | serverip=13.107.42.12 | url=https://teams.microsoft.com/v2/ | action=Allowed | location=Remote_VPN | incomingbytes=1250000 | outgoingbytes=450000 | urlcategory=Collaboration Tools | urlsupercategory=Business/Economy | threatname=None | threattype=None | appclass=Cloud Applications | useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) | rulelabel=Allow_Workspace
dateTime=2026-06-13 15:20:00 UTC | login=mgreen@megacorp.com | clientip=10.200.10.99 | serverip=204.79.197.200 | url=https://www.bing.com/news | action=Allowed | location=NewYork_Office | incomingbytes=184000 | outgoingbytes=6100 | urlcategory=Search Engines | urlsupercategory=Business/Economy | threatname=None | threattype=None | appclass=General Browsing | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Default_Allow_Web
dateTime=2026-06-13 15:22:45 UTC | login=mgreen@megacorp.com | clientip=10.200.10.99 | serverip=151.101.65.140 | url=https://www.nytimes.com/section/technology | action=Allowed | location=NewYork_Office | incomingbytes=520000 | outgoingbytes=14200 | urlcategory=News and Media | urlsupercategory=General Information | threatname=None | threattype=None | appclass=General Browsing | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Default_Allow_Web
dateTime=2026-06-13 15:30:12 UTC | login=tstark@megacorp.com | clientip=10.200.44.12 | serverip=198.51.100.45 | url=http://update-your-corporate-profile.com/login | action=Allowed | location=London_DataCenter | incomingbytes=8900 | outgoingbytes=1400 | urlcategory=Newly Registered Domains | urlsupercategory=Advanced Threat Protection | threatname=Phish.Generic.CredentialHarvest | threattype=Phishing | appclass=General Browsing | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Default_Allow_Web
dateTime=2026-06-13 15:31:05 UTC | login=tstark@megacorp.com | clientip=10.200.44.12 | serverip=185.190.140.88 | url=http://185.190.140.88/payload.exe | action=Allowed | location=London_DataCenter | incomingbytes=12400000 | outgoingbytes=450 | urlcategory=Miscellaneous/Unknown | urlsupercategory=Unknown | threatname=Win32.Trojan.CobaltStrike | threattype=Malware | appclass=Unclassified | useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) | rulelabel=Default_Allow_Web
dateTime=2026-06-13 15:35:00 UTC | login=tstark@megacorp.com | clientip=10.200.44.12 | serverip=185.190.140.88 | url=http://185.190.140.88/match.php?q=beacon | action=Allowed | location=London_DataCenter | incomingbytes=350 | outgoingbytes=210 | urlcategory=Miscellaneous/Unknown | urlsupercategory=Unknown | threatname=None | threattype=Botnet_C2_Beacon | appclass=Unclassified | useragent=Windows_Powershell/7.4 | rulelabel=Default_Allow_Web
